"filename", "language", "JSON", "Markdown", "Plain Text (PDF)", "Python", "comment", "blank", "total"
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/raw_tweets.pdf", "Plain Text (PDF)", 0, 0, 201, 0, 0, 3, 204
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/rogers_distribution.pdf", "Plain Text (PDF)", 0, 0, 296, 0, 0, 3, 299
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/sentiment_count.pdf", "Plain Text (PDF)", 0, 0, 209, 0, 0, 2, 211
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/sigmoid.pdf", "Plain Text (PDF)", 0, 0, 390, 0, 0, 1, 391
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/stratk.pdf", "Plain Text (PDF)", 0, 0, 225, 0, 0, 1, 226
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/stream.pdf", "Plain Text (PDF)", 0, 0, 87, 0, 0, 1, 88
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/svm_sentiment.pdf", "Plain Text (PDF)", 0, 0, 224, 0, 0, 2, 226
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/svm_sentiment_change.pdf", "Plain Text (PDF)", 0, 0, 224, 0, 25, 3, 252
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/tweet_engagement.pdf", "Plain Text (PDF)", 0, 0, 208, 0, 0, 3, 211
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/tweet_length_year.pdf", "Plain Text (PDF)", 0, 0, 750, 0, 1785, 6, 2541
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/twitter_comb_pct.pdf", "Plain Text (PDF)", 0, 0, 161, 0, 0, 3, 164
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/twitter_users.pdf", "Plain Text (PDF)", 0, 0, 163, 0, 0, 3, 166
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/twitter_users_pct.pdf", "Plain Text (PDF)", 0, 0, 159, 0, 0, 3, 162
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/wordcloud_blackbox_neg.pdf", "Plain Text (PDF)", 0, 0, 3062, 0, 2765, 21, 5848
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/wordcloud_blackbox_pos.pdf", "Plain Text (PDF)", 0, 0, 2662, 0, 2779, 20, 5461
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/wordcloud_cambridge.pdf", "Plain Text (PDF)", 0, 0, 2902, 0, 2048, 20, 4970
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/wordcloud_cambridge_neg.pdf", "Plain Text (PDF)", 0, 0, 2553, 0, 2643, 9, 5205
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/wordcloud_deepmind_neg.pdf", "Plain Text (PDF)", 0, 0, 1730, 0, 2083, 19, 3832
